OBJECTID,x,y,Sheltered_Coastline,Geomorphology_Hazard,Elevation_Hazard,Sea_Level_Rise_Hazard,Wave_Hazard,storm_surge_hazard,Erosion_Rate_Hazard,Forest_Present,Marsh_Present,Dune_Present,Oyster_Reef_Present,Underwater_Grass_Present,Hazard_with_Habitats,Hazard_without_Habitats,Hazard_Reduction_by_Habitats,Community_Flood_Risk_Max,Community_Flood_Risk_Nearest,County,EI_wHAB,EI_woHAB_x,hab_role,NearRiskD,Latitude,Longitude,PercentBufferOccupied,HabScore,PercentRemaining2100,PercentBufferRemain,PersistScore,AreaScore,PDI,SVI,PeopleScore,EI_woHAB_y,Probability,HazScore,TotalScore,Overall_Rating,Shape__Area,Shape__Length,Hazard_Reduction_by_Habitats_Numeric,Hazard_with_Habitats_Numeric,Hazard_without_Habitats_Numeric,Community_Flood_Risk_Max_Numeric
22,418798.774493,4383697.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Moderate,Cecil,1.61711001,1.93069994,0.31359199,121.81908417,39.59917652,-75.94575547,11.58012608,1,0.0,0.03593833,1,3,20,100,3,3.98646998,0.9,5,13,Medium,68668.39640385,1463.484046726829,2.0,1,1,4.0
23,403298.774493,4383447.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Harford,1.81465995,1.87012005,0.0554574,1297.97058105,39.59524641,-76.12638059,30.18842584,2,94.40859485,52.72560765,5,3,60,100,4,3.55669999,0.9,5,19,Very High,346655.86031439,8056.010607207677,1.0,1,1,2.0
24,404798.774493,4383447.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.84546006,1.90186,0.0563984,421.0279541,39.59636583,-76.10687819,28.61492371,2,0.0,2.49920598,1,3,0,0,0,3.98646998,0.9,5,11,Low,103681.40308732,2443.0071769359283,1.0,1,1,2.0
25,418548.774493,4383447.23155,Yes,Moderate,Very Low,Low,Very Low,High,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Very High,Cecil,1.83254004,2.18791008,0.355371,184.30903625,39.59569575,-75.9479768,33.32446711,2,4.73739059,47.55806734,3,4,20,100,3,3.61064005,0.9,5,17,Very High,1007984.879785625,12908.580787063886,2.0,1,2,4.0
26,403548.774493,4383197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,1,1,0,0,0,Low,Low,Moderate,Moderate,Low,Harford,1.61111999,1.93069994,0.31957999,1468.81933594,39.59259714,-76.12483506,49.22988471,3,10.74638717,46.96268551,3,3,20,100,3,3.61064005,0.9,5,17,Very High,449992.570707405,10640.348108690372,2.0,1,1,2.0
27,404798.774493,4383197.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.84546006,1.90186,0.0563984,685.3515625,39.59420766,-76.10555948,76.12324368,4,100.0,85.18788073,5,2,20,100,3,0.0,0.9,2,16,Very High,14002.131223115,506.6079854219592,1.0,1,1,2.0
28,417798.774493,4383197.23155,Yes,High,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Moderate,Low,Very High,Low,Cecil,1.78438997,2.06478,0.28039601,56.64928436,39.5944636,-75.95725415,10.5865649,1,0.0,0.40462354,1,2,20,100,3,3.27024007,0.9,5,12,Medium,3997.224163425,310.43730793275904,1.0,1,2,4.0
29,418048.774493,4383197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Low,Cecil,1.78542995,2.13165998,0.34623399,27.43384743,39.59462364,-75.95444477,8.63293029,1,83.85501978,28.66873861,5,2,20,100,3,3.49735999,0.9,5,16,Very High,24101.68126497,971.09131125337,2.0,1,2,4.0
30,418298.774493,4383197.23155,Yes,High,Very Low,Low,Low,High,Low,1,1,0,0,0,Moderate,Moderate,Moderate,Very High,Very High,Cecil,2.10818005,2.51699996,0.408822,5.72164154,39.59467401,-75.95163923,81.80447008,5,0.0,15.24341454,1,1,20,100,3,0.0,0.9,2,12,Medium,184.7215454,84.89397518168322,2.0,2,2,4.0
31,418548.774493,4383197.23155,Yes,Low,Very Low,Low,Very Low,High,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Very High,Cecil,1.72941005,2.06478,0.33537099,159.6318512,39.59484083,-75.94883451,57.58090489,3,0.0,3.47065009,1,1,0,0,0,3.98646998,0.01,5,10,Low,2693.101531055,265.6857369053736,2.0,1,2,4.0
32,403548.774493,4382947.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,1,1,0,0,0,Low,Low,Moderate,Moderate,Low,Harford,1.61111999,1.93069994,0.31957999,1532.95361328,39.59075209,-76.1233893,46.37570128,3,96.6862563,20.47470626,5,2,20,100,3,3.98646998,0.9,5,18,Very High,13460.2977788,992.4440783404915,2.0,1,1,2.0
33,405048.774493,4382947.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Moderate,Low,Cecil,1.74160004,1.79481995,0.0532244,988.11352539,39.59155871,-76.10452601,25.27064329,2,100.0,47.67457542,5,2,20,100,3,3.98646998,0.9,5,17,Very High,16678.379020105,851.374710455625,1.0,1,1,2.0
34,417548.774493,4382947.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.61616004,1.87012005,0.253961,320.40631104,39.59225909,-75.96016992,63.83073685,4,0.0,39.28152886,2,1,20,100,3,3.82595992,0.9,5,15,High,1338.179540415,198.91779508555126,1.0,1,1,4.0
35,418298.774493,4382947.23155,Yes,Low,Very Low,Low,Low,High,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Very High,Cecil,1.90943003,2.27970004,0.37028,188.50218201,39.59246283,-75.95181138,78.68165827,4,22.10709997,28.27721209,3,1,20,100,3,3.82595992,0.0,5,16,Very High,397.315866645,116.66197023476691,2.0,1,2,4.0
36,427048.774493,4382947.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Low,Cecil,1.78542995,2.13165998,0.34623399,146.08750916,39.59199875,-75.85028089,8.7467879,1,6.33458794,20.97626629,2,3,20,100,3,4.40142012,0.9,5,14,High,203999.054950055,4078.0440908620217,2.0,1,2,4.0
37,427298.774493,4382947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Low,Cecil,1.61711001,1.93069994,0.31359199,355.98831177,39.59305254,-75.84655618,59.43980688,3,2.82761352,35.56882868,3,4,20,100,3,3.82595992,0.9,5,18,Very High,2066832.49450484,46697.30157989045,2.0,1,1,4.0
38,427548.774493,4382947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Low,Cecil,1.61711001,1.93069994,0.31359199,449.84112549,39.59332535,-75.84401063,52.59731819,3,3.46745369,31.31254151,2,4,20,100,3,3.37616992,0.9,5,17,Very High,2816886.151343925,46556.10778690936,2.0,1,1,4.0
39,403798.774493,4382697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,1,1,0,0,0,Low,Low,Moderate,Moderate,Low,Harford,1.61111999,1.93069994,0.31957999,1594.37316895,39.58820871,-76.12095956,95.28496831,5,12.84826899,62.88560458,3,2,20,100,3,0.0,0.9,2,15,High,20093.04072019,1604.4674184259902,2.0,1,1,2.0
40,405298.774493,4382697.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Low,Low,Cecil,1.84546006,1.90186,0.0563984,1322.29821777,39.58902675,-76.10235889,49.81018662,3,-5e-07,11.72996991,1,3,20,100,3,3.27024007,0.9,5,15,High,75221.175476725,2418.5539037660596,1.0,1,1,1.0
41,417298.774493,4382697.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.56637001,1.87012005,0.30375299,518.6081543,39.58980462,-75.96280285,53.47442707,3,99.86112832,62.5553207,5,2,20,100,3,0.0,0.9,2,15,High,26214.82066643,1179.289605280075,1.0,1,1,4.0
42,418298.774493,4382697.23155,Yes,Low,Very Low,Low,Low,High,Low,1,0,0,0,0,Low,Moderate,Moderate,Very High,High,Cecil,1.97011995,2.27970004,0.309582,53.8290596,39.58993556,-75.94939587,91.32020035,5,100.0,89.41821066,5,2,20,100,3,0.0,0.9,2,17,Very High,15314.29380657,551.704308893194,2.0,1,2,4.0
43,427298.774493,4382697.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Low,Cecil,1.61711001,1.93069994,0.31359199,364.14886475,39.59153601,-75.84738425,21.28365763,2,0.0,0.0,0,3,20,100,3,4.40142012,0.9,5,13,Medium,88714.54927555,2963.7924312526357,2.0,1,1,4.0
44,404048.774493,4382447.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Low,Low,Harford,1.66297996,1.93069994,0.26772201,1673.58410645,39.58614035,-76.11840207,47.22589568,3,0.0,1.13470764,1,2,20,100,3,3.86139989,0.9,5,14,High,29293.136112475,1143.0432510723567,1.0,1,1,1.0
46,417048.774493,4382447.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.41869998,1.69380999,0.27511701,220.08860779,39.58749991,-75.96530096,47.58611408,3,0.0,10.50117999,1,1,20,100,3,0.0,0.9,2,10,Low,322.50730935,238.05836097760888,1.0,1,1,4.0
47,418298.774493,4382447.23155,Yes,Low,Very Low,Low,Low,Low,Low,1,0,0,0,0,Low,Moderate,Low,Very High,High,Cecil,1.78438997,2.06478,0.28039601,70.07886505,39.58791662,-75.94947304,44.49007347,3,0.0,2.50183134,1,2,20,100,3,4.40142012,0.9,5,14,High,23446.33608866,1105.7241929110837,1.0,1,2,4.0
48,404298.774493,4382197.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Low,Low,Harford,1.45894003,1.69380999,0.234874,1876.95874023,39.58323865,-76.11505671,40.46930735,3,0.0,39.52191356,2,2,0,0,0,0.0,0.9,2,9,Very Low,8753.59833737,506.3204547354599,1.0,1,1,1.0
49,405548.774493,4382197.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,0,0,0,0,0,Low,Low,Low,Low,Low,Cecil,1.84546006,1.90186,0.0563984,1882.74084473,39.5849352,-76.09842513,51.23202071,3,1.22554499,3.46725954,2,3,20,60,2,0.0,0.9,2,12,Medium,414517.38863857,5322.999176678515,1.0,1,1,1.0
51,417048.774493,4382197.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.46379995,1.69380999,0.230019,7.97495794,39.58558898,-75.96527004,33.804226,2,11.02582599,34.96982131,3,4,20,100,3,3.61064005,0.9,5,17,Very High,1978917.47421396,22527.650208326624,1.0,1,1,4.0
52,418298.774493,4382197.23155,Yes,Low,Very Low,Low,Low,Low,Low,1,0,0,0,0,Low,Moderate,Low,Very High,High,Cecil,1.78438997,2.06478,0.28039601,181.89610291,39.58515574,-75.95007489,55.2690289,3,98.65834933,75.50206783,5,1,20,100,3,0.0,0.9,2,14,High,2364.61410416,285.4639019701627,1.0,1,2,4.0
53,426298.774493,4382197.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,High,Cecil,1.78542995,2.13165998,0.34623399,72.70171356,39.58616295,-75.85680104,48.0982994,3,1.74255228,29.03829609,2,4,20,100,3,3.37616992,0.9,5,17,Very High,1065264.278315435,21160.595618476953,2.0,1,2,4.0
54,427048.774493,4382197.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Low,Cecil,1.78542995,2.13165998,0.34623399,432.68353271,39.58564502,-75.84792207,21.668107,2,15.27309726,8.8746877,2,2,20,100,3,3.61064005,0.9,5,14,High,10292.331016085,681.2636297957852,2.0,1,2,4.0
55,427298.774493,4382197.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,Very High,Low,Cecil,1.78542995,2.13165998,0.34623399,356.0067749,39.58636254,-75.84675057,74.4462052,4,0.0,20.52979933,1,1,0,0,0,0.0,0.0,0,6,Very Low,166.46769116,61.46413293184702,2.0,1,2,4.0
58,417048.774493,4381947.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.61616004,1.87012005,0.253961,0.0,39.5832394,-75.96601458,66.21872146,4,0.0,4.72069344,1,1,20,100,3,2.96194005,0.0,5,14,High,1119.100995175,297.6101660894632,1.0,1,1,4.0
59,418298.774493,4381947.23155,Yes,Low,Very Low,Low,Low,Low,Low,1,0,0,0,0,Low,Moderate,Low,Very High,High,Cecil,1.78438997,2.06478,0.28039601,271.95932007,39.5840601,-75.94941388,28.31854712,2,14.68378377,13.18900821,2,1,40,60,3,0.0,0.9,2,10,Low,809.55252901,127.97321477985192,1.0,1,2,4.0
60,426548.774493,4381947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,High,High,Cecil,1.61711001,1.93069994,0.31359199,63.91295624,39.58403761,-75.85545734,19.70824376,1,0.0,11.6387497,1,1,40,60,3,0.0,0.9,2,8,Very Low,232.95049846,76.51178949435328,2.0,1,1,3.0
61,426798.774493,4381947.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,High,Cecil,1.78542995,2.13165998,0.34623399,308.86621094,39.58368203,-75.8523918,42.43957191,3,0.72862012,10.93466542,2,3,40,60,3,3.9498899,0.9,5,16,Very High,55623.40890508,1556.259398159854,2.0,1,2,3.0
62,427048.774493,4381947.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,High,Cecil,1.78542995,2.13165998,0.34623399,545.71276855,39.58365657,-75.84955758,64.8339939,4,33.96474106,33.69362266,4,2,40,60,3,0.0,0.9,2,15,High,24192.48800692,1422.0420259745686,2.0,1,2,3.0
63,427548.774493,4381947.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,Low,Cecil,1.78542995,2.13165998,0.34623399,67.83409119,39.58474731,-75.84371556,63.09816131,4,0.37301142,21.44998867,2,2,20,60,2,3.9498899,0.9,5,15,High,9313.643589355,513.4274534635666,2.0,1,2,3.0
66,406548.774493,4381697.23155,Yes,Very High,Very Low,Low,Low,Very Low,High,1,1,0,0,0,Low,Moderate,Moderate,Very High,Very High,Cecil,1.96396995,2.35354996,0.38957199,1914.87182617,39.57961903,-76.08815864,79.13502165,4,0.0,0.0,0,1,20,60,2,0.0,0.9,2,9,Very Low,1858.150350955,227.27337366053834,2.0,1,2,4.0
67,417048.774493,4381697.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.71254003,1.98164999,0.269106,26.48022652,39.58106106,-75.96553339,53.93714514,3,6.63982559,51.063103,3,2,20,60,2,3.27024007,0.9,5,15,High,38458.486071285,1639.491406651784,1.0,1,1,4.0
68,418048.774493,4381697.23155,Yes,Very Low,Very Low,Low,Low,Low,Very Low,1,0,0,0,0,Low,Low,Low,Very High,Moderate,Cecil,1.46379995,1.69380999,0.230019,120.5067215,39.5786051,-75.95176794,82.11281396,5,1.24835124,8.27520007,2,3,40,60,3,0.0,0.9,2,15,High,332921.39277684,7672.216927450342,1.0,1,1,4.0
69,418298.774493,4381697.23155,Yes,Very Low,Very Low,Low,Low,Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Moderate,Cecil,1.61616004,1.87012005,0.253961,97.53163147,39.57970603,-75.9499417,10.63610646,1,0.0,0.0,0,1,20,60,2,0.0,0.9,2,6,Very Low,1622.269971195,198.6237568485811,1.0,1,1,4.0
70,427298.774493,4381697.23155,Yes,Very High,Very Low,Low,Low,Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,Low,Cecil,1.97126997,2.35354996,0.38227299,471.94515991,39.58173963,-75.8478761,84.21750145,5,0.0,0.0,0,2,20,60,2,0.0,0.9,2,11,Low,5633.701432205,457.4826762480884,2.0,1,2,3.0
71,427548.774493,4381697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,High,Cecil,1.78542995,2.13165998,0.34623399,98.31881714,39.58107402,-75.84124917,33.35813695,2,13.48982462,64.18230218,3,4,20,100,3,3.13857007,0.9,5,17,Very High,532866.243300095,17972.241763526767,2.0,1,2,3.0
73,406798.774493,4381447.23155,Yes,High,Very Low,Low,Low,Very Low,High,1,1,0,0,0,Low,Moderate,Moderate,Very High,Very High,Cecil,1.90235996,2.27970004,0.37734899,1654.15991211,39.57794422,-76.08480255,14.83080624,1,2.36499937,1.76247707,2,4,20,60,2,3.46526003,0.9,5,14,High,1154487.138478745,14714.116179813433,2.0,1,2,4.0
74,416798.774493,4381447.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Very High,Cecil,1.61616004,1.87012005,0.253961,0.0,39.57796314,-75.96740265,28.27708996,2,0.0,1.49517817,1,2,20,100,3,3.13857007,0.9,5,13,Medium,12178.00211138,786.4682590572684,1.0,1,1,4.0
75,417798.774493,4381447.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.32579005,1.53412998,0.208333,91.16784668,39.57710219,-75.95414979,20.73329677,2,0.0,0.0,0,2,20,60,2,2.75348997,0.9,4,10,Low,5007.752533945,306.82504450566614,1.0,1,1,4.0
76,427048.774493,4381447.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,High,Low,Cecil,1.61711001,1.93069994,0.31359199,198.38554382,39.57924862,-75.84789686,17.62805248,1,80.52240287,53.39659263,5,2,20,100,3,0.0,0.9,2,13,Medium,3040.194762005,260.9374061687965,2.0,1,1,3.0
77,427548.774493,4381447.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,High,Cecil,1.78542995,2.13165998,0.34623399,134.04058838,39.57894542,-75.8419587,31.50744838,2,21.72543449,6.36991044,3,3,20,60,2,2.68269992,0.9,4,14,High,434992.791118455,9307.150304151877,2.0,1,2,3.0
79,406298.774493,4381197.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Very High,Cecil,1.65363002,1.98164999,0.328013,1285.39074707,39.57297541,-76.08894517,10.67995809,1,26.53875707,1.77965127,3,2,20,60,2,2.75348997,0.9,4,12,Medium,22746.10671429,1039.1241709486485,2.0,1,1,4.0
80,406548.774493,4381197.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Very High,Cecil,1.65363002,1.98164999,0.328013,1260.81494141,39.57314707,-76.08807143,21.19688705,2,28.82631084,2.32725644,3,2,20,60,2,2.35354996,0.9,4,13,Medium,18041.199892905,686.9782767991891,2.0,1,1,4.0
81,406798.774493,4381197.23155,Yes,High,Very Low,Low,Low,Very Low,High,1,1,0,0,0,Low,Moderate,Moderate,Very High,Very High,Cecil,1.90235996,2.27970004,0.37734899,1525.83605957,39.57696845,-76.08349409,53.16543546,3,19.84570854,1.23439078,2,2,20,60,2,0.0,0.9,2,11,Low,23580.193143515,944.151532838819,2.0,1,2,4.0
82,416798.774493,4381197.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,1,0,0,0,0,Low,Low,Low,Very High,Very High,Cecil,1.71254003,1.98164999,0.269106,0.0,39.57672526,-75.96882795,34.65881631,2,12.15174365,34.7866474,3,3,20,60,2,3.13857007,0.9,5,15,High,98859.925164425,1943.423614704686,1.0,1,1,4.0
83,417798.774493,4381197.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.32579005,1.53412998,0.208333,84.64342499,39.57608439,-75.95484326,42.91704165,3,93.96394507,62.13245519,5,2,20,100,3,2.96194005,0.9,5,18,Very High,6005.251989915,533.9311649638047,1.0,1,1,4.0
84,426798.774493,4381197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,0,0,0,0,Low,Moderate,Low,High,Low,Cecil,1.84218001,2.13165998,0.289478,222.38212585,39.57748542,-75.85238839,46.00819621,3,4.8731853,40.8682279,3,4,20,100,3,2.96194005,0.9,5,18,Very High,1217428.84510195,10880.29312466663,1.0,1,2,3.0
85,427548.774493,4381197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Moderate,Moderate,High,High,Cecil,1.78542995,2.13165998,0.34623399,312.28186035,39.57718684,-75.84233254,50.66220787,3,0.0,0.0,0,3,20,100,3,3.13857007,0.9,5,14,High,72759.309092845,2116.1428599291703,2.0,1,2,3.0
86,405298.774493,4380947.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Moderate,Low,Harford,1.45894003,1.69380999,0.234874,1720.67443848,39.5723765,-76.10323503,43.48069867,3,38.91008634,33.04659145,3,4,20,100,3,4.22419977,0.9,5,18,Very High,813525.486470545,7186.588254435835,1.0,1,1,2.0
87,406048.774493,4380947.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,1,1,0,0,1,Low,Low,Moderate,Very High,Very High,Cecil,1.65824997,1.98164999,0.32339799,1289.99023438,39.57215074,-76.09040371,61.1117902,4,18.02888427,49.10040659,3,4,20,100,3,3.67191005,0.9,5,19,Very High,1200260.69461589,22928.79846232845,2.0,1,1,4.0
88,406798.774493,4380947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,1,1,0,0,0,Low,Low,Moderate,Very High,Very High,Cecil,1.65363002,1.98164999,0.328013,1124.59655762,39.57275121,-76.08559146,20.72919255,2,7.61326096,21.6261316,2,2,20,100,3,0.0,0.9,2,11,Low,7168.1723498,509.9635455615986,2.0,1,1,4.0
89,407048.774493,4380947.23155,Yes,High,Very Low,Low,Low,Very Low,Moderate,1,0,0,0,0,Low,Moderate,Low,Very High,Very High,Cecil,1.88452005,2.18791008,0.30338901,1112.07385254,39.57343647,-76.08073613,30.79550627,2,0.0,0.28503521,1,1,20,100,3,3.37616992,0.0,5,12,Medium,401.18859624,162.66901263222522,1.0,1,2,4.0
90,416548.774493,4380947.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Very Low,1,0,0,0,0,Low,Low,Low,Very High,Low,Cecil,1.55109,1.79481995,0.243736,11.9909296,39.57400463,-75.97084343,41.71967111,3,2.67135474,29.26269872,2,3,20,100,3,2.96194005,0.9,5,16,Very High,250640.091682335,5908.1019935490685,1.0,1,1,4.0
